name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
Lumai,9200000.0,Oxford,UK,"AI, optics, computing",Series A,"Lumai is an AI accelerator startup using optics to address global computational challenges, helping AI data centres reduce costs and boost performance while minimising energy consumption.","Constructor Capital, IP Group, PhotonVentures, Journey Ventures, LIFTT, Qubits Ventures, State Farm Ventures, TIS Inc",2022,"ex-University of Oxford, PhDs","advancing product development, doubling headcount, expanding U.S. presence, reportedly cutting AI inference costs to one-tenth of today's top solutions, delivering 50 times the performance of silicon-only accelerators while using just 10% of the power",,Series A,English,EU,,"AI, optics, computing, data centres, energy efficiency, photonics, scalability, performance, sustainability",https://www.eu-startups.com/2025/04/lumai-secures-more-than-e9-2-million-to-slash-ai-processing-costs-and-boost-performance/,"April 2, 2025",
Wealthyhood,3600000.0,London,United Kingdom,"FinTech, WealthTech, Digital Investing",Strategic,"Wealth-building app helping younger investors learn, save, invest and build wealth.",Global Wealth Group PLC,4,"Alexandros Christodoulakis, Co-founder & CEO","Over 50,000 active users in the UK, expansion into Greece and broader EU market, licensing from the Hellenic Capital Market Commission, B2B services launch",,Strategic,English,EU,,"FinTech, WealthTech, digital investing, financial independence, AI, automation, Europe, Greece, UK, B2B, Wealthyhood, Global Wealth Group",https://www.eu-startups.com/2025/04/fintech-startup-wealthyhood-lands-e3-6-million-investment-to-expand-to-greece/,"April 2, 2025",
CMR Surgical,185000000.0,Cambridge,UK,"Medical Devices, Surgical Robotics",Growth,"A global surgical robotics company dedicated to transforming surgery with their next-generation surgical robot, Versius.","Trinity Capital, Armentum Partners",2014,Experienced leadership including CEO Massimiliano Colella and CFO Andre Nel.,"Versius has been used in over 30,000 surgical cases globally, installed in more than 30 countries, and is the second most utilized soft tissue surgical robot in the world.",,Growth,English,UK,,"surgical robotics, Versius, medical devices, minimally invasive surgery, clinical trials, healthcare innovation",https://www.eu-startups.com/2025/04/more-than-just-a-robot-surgical-robotics-company-cmr-surgical-secures-over-e185-million/,"April 2, 2025",
Revaia,250000000.0,Paris,France,"growth investment, sustainable innovation, energy transition, AI, cybersecurity",Growth II,A leading independent European growth investor focusing on sustainable innovation and high-growth sectors like energy transition and AI.,"Bpifrance, European Investment Fund (EIF), BNP Paribas Cardif, JP MorganChase",2018,"Founding Partners Alice Albizzati and Elina Berrebi, with a team bringing hands-on expertise in go-to-market, AI, product, and ESG.","Fund I companies have grown 4x on average since investment, with 80% now generating between €40 million and over €250 million in revenues. Fund II is 40% deployed, with companies growing at an average rate of 70% per year.",600000000,Growth,English,EU,,"growth investor, sustainable innovation, energy transition, AI, cybersecurity, European tech leaders, capital efficiency, profitability",https://www.eu-startups.com/2025/04/growth-investor-revaia-closes-revaia-growth-ii-fund-at-e250-million/,"April 2, 2025",
Maps Untold,350000.0,Eindhoven,Netherlands,TravelTech,Seed,AI-powered personalised city guide platform delivering hyper-personalised travel recommendations.,"Rabobank, Leisure Ontwikkel Fonds",2021,"Dennis van Ravenstein, Gabriella Gomes Branco","Aims to exceed 250,000 monthly active users and generate at least €10k in monthly recurring revenue by year-end.",,Seed,English,EU,,"TravelTech, AI, personalised travel, sustainable travel, local economies",https://www.eu-startups.com/2025/04/tripadvisor-who-maps-untold-bags-e350k-to-personalise-your-next-adventure/,"April 1, 2025",
Fiberdom,3500000.0,Vantaa,Finland,"wood fibre material innovation, sustainable materials, packaging",,"Fiberdom is a Finnish materials innovation company that has created a 100% plastic-free, high-performance material from FSC-certified wood fibres.","Heino Group, Nordic Foodtech VC, Holdix Oy, Business Finland",2019,,"successfully commercialised its first application, single-use cutlery that complies with the EU’s Single-Use Plastics Directive, now available through leading Finnish retailers and B2B channels",,,English,EU,,"wood fibre, plastic-free, sustainable, packaging, innovation, materials, funding, Finland",https://www.eu-startups.com/2025/04/fiberdom-secures-e3-5-million-to-drive-plastic-free-circular-material-innovations/,"April 1, 2025",
ElevenLabs,281000000.0,,Europe,AI,,One of the fastest-scaling AI startups in Europe.,Carles Reina,,First investor and go-to-market strategist,Fastest-scaling AI startup in Europe,,,,,,"AI, go-to-market, SaaS, enterprise contracts, product-market fit, global scaling, cultural intelligence, brand, community, growth",https://www.eu-startups.com/2025/06/eu-startups-podcast-episode-123-carles-reina-investor-and-go-to-market-strategist-at-elevenlabs/,"June 26, 2025",
pyannoteAI,8100000.0,Paris,France,"Speaker Intelligence AI, speech technology, enterprise-grade speech applications",Seed,"pyannoteAI is pioneering Speaker Intelligence AI, transforming how AI processes and understands spoken language.","Crane Venture Partners, Serena, Julien Chaumond, Alexis Conneau",,"Hervé Bredin (former research scientist at CNRS), Vincent Molina","100,000+ developers worldwide, 45 million monthly downloads on HuggingFace",,Seed,English,EU,,"Speaker Intelligence AI, speech technology, enterprise-grade speech applications, open-source, HuggingFace, dubbing, synthetic voice creation",https://www.eu-startups.com/2025/04/pyannoteai-raises-e8-million-to-build-the-first-language-agnostic-speaker-intelligence-platform/,"April 7, 2025",
Different Dog,11700000.0,Shrewsbury,UK,"pet food, subscription service",,"A fresh dog food subscription service offering hand-cooked, human-grade meals tailored to dogs' dietary needs.",Charlie Oscar Group,2017,husband-and-wife duo Charlie & Alex Thurstan,"feeding over 18,000 dogs, employing over 100 people, five consecutive years of revenue doubling year-on-year",,,English,UK,,,https://www.eu-startups.com/2025/04/different-dog-raises-e11-million-for-its-hand-cooked-human-grade-dog-food/,"April 7, 2025",
Pennylane,75000000.0,Paris,France,"accounting, financial management, electronic invoicing",Unicorn,Pennylane is an accountancy platform that provides integrated financial management and electronic invoicing solutions for European businesses and accounting firms.,"Sequoia Capital, Capital G, Meritech, DST",4,CEO and Co-founder Arthur Waller,"4,500 accounting firms and 350,000 clients use the platform daily, tripled the number of SMEs on its platform in 12 months",Unicorn,Unicorn,English,EU,,"electronic invoicing, financial management, accounting, SMEs, digitisation, Europe",https://www.eu-startups.com/2025/04/unicorn-pennylane-bags-an-additional-e75-million-for-electronic-invoicing/,"April 7, 2025",
Grid Edge,3300000.0,Birmingham,UK,"AI, Energy Management, Sustainability",Funding round,AI-powered software that helps reduce carbon emissions and energy costs in commercial buildings.,"Midlands Engine Investment Fund II, Mercia Ventures, Centrica, bp Ventures, private investors",8,"Energy specialists (Jim Scott, Dan Wright, Tom Anderson), ex-Deloitte (Richard Moore), ex-EE and Amber Energy (Paul McCorquodale)","150% increase in ARR in the last year, plans to triple ARR again within two years, expanding from 120 to 400 locations, partnerships with Bull Ring shopping centre and Royal Opera House, clients include Amey, Equans, OCS",,,English,UK,,"AI, energy management, carbon emissions, sustainability, commercial buildings, Midlands Engine Investment Fund, Mercia Ventures, Centrica, bp Ventures",https://www.eu-startups.com/2025/04/grid-edge-raises-e3-3-million-for-ai-software-that-helps-cut-energy-costs-and-carbon/,"April 4, 2025",
Evolytes,1300000.0,Reykjavík,Iceland,"EdTech, Education",Seed,Elementary math learning platform that empowers students through game-based learning.,"Omega, Pekron Family Office, NSA Ventures",2017,Interdisciplinary research background,"160,000 students across 1,400 schools in the U.S., impact in Latin America, India, Middle East, South East Asia",,Seed,English,EU,,"math learning, EdTech, game-based learning, student engagement, education impact",https://www.eu-startups.com/2025/04/evolytes-raises-e1-3-million-to-scale-its-k-5-math-learning-platform-globally/,"April 4, 2025",
Sateliot,70000000.0,Barcelona,Spain,"SpaceTech, telecommunications, defense, cybersecurity, logistics, mining, energy, environment, agriculture, critical infrastructures",Series B,"Sateliot is pioneering the first LEO satellite constellation delivering NB-IoT connectivity, extending Mobile Telecom coverage to 100% of the planet.","Hyperion Fund, Sociedad Española de Transformación Tecnológica (SETT), Global Portfolio Investments, European Investment Bank (EIB), Indra, Cellnex, SEPIDES",0,"Jaume Sanpera, entrepreneur with 30+ years in technology and founder of eight companies; Marco Guadalupi, Co-founder and CTO, responsible for Eurona’s broadband satellite network deployment","Launched six satellites, €270 million in contracts with 400+ customers in 50 countries, aiming for €1 billion turnover by 2030",,Series B,English,EU,,"SpaceTech, 5G-IoT, satellite constellation, global connectivity, defense, cybersecurity, telecommunications, logistics, mining, energy, agriculture, critical infrastructures",https://www.eu-startups.com/2025/03/sateliots-space-leap-e70-million-to-connect-the-planet-with-5g-iot-from-orbit/,"March 26, 2025",
GravitHy,60000000.0,Marseille,France,"low-carbon iron, clean steel",Growth,"GravitHy is a low-carbon iron producer for the clean steel sector, aiming to accelerate the decarbonisation of the steel industry.","Japan Hydrogen Fund, Marcegaglia, Ecolab, Rio Tinto, Siemens, Engie New Ventures, InnoEnergy",2,"José Noldin (CEO), Diego Pavia (CEO of InnoEnergy)","Secured key contracts, completing engineering, obtaining permits, attracting top talent, plans to produce 2 million tons of DRI/HBI annually, creating up to 500 direct jobs",2200000000,Growth,English,EU,,"low-carbon iron, clean steel, decarbonisation, green steel, hydrogen, Direct Reduced Iron, Hot Briquetted Iron, industrial sovereignty",https://www.eu-startups.com/2025/03/producing-an-eiffel-tower-a-day-gravithy-secures-e60-million-to-power-green-steel-revolution/,"March 26, 2025",
Paid,10000000.0,London,UK,"AI, Business Platform",Pre-Seed,"Paid is a business platform for AI agents, providing margin intelligence and flexible pricing models to help AI agent companies accelerate growth and profitability.","EQT Ventures, Sequoia Capital",Founding year not mentioned,"Manny Medina, Co-founder of Outreach, scaled it to 6k customers, 800 employees, and €231 million in ARR","Early partners like Logic.app, 11x, and Vidlab7 report significant improvements in margin visibility after implementing Paid’s platform.",Not mentioned,Pre-Seed,English,UK,Not mentioned,"AI agents, business platform, monetisation, margin management, SaaS, EQT Ventures, Sequoia Capital",https://www.eu-startups.com/2025/03/paid-raises-e10-million-to-transform-ai-agent-economy-and-launch-beta-programme/,"March 25, 2025",Not mentioned
Incore Invest,25000000.0,Stockholm,Sweden,"SaaS, embedded finance, FinTech",Growth stage,"Investment firm focused on accelerating the growth of high-potential SaaS, embedded finance, and FinTech companies across Europe.",,2,"Nicolai Chamizo (CEO and Founder), Kasper Terrvik (Investment Manager, ex-Bloomberg, SEB Corporate Finance)","Launch of Incore Invest II, expanding portfolio, hiring of Kasper Terrvik",,Growth stage,English,EU,,"investment, SaaS, embedded finance, FinTech, Europe, growth stage, PSD2/3, open banking",https://www.eu-startups.com/2025/03/incore-invest-raises-e25-million-in-second-fund-to-accelerate-high-growth-investments-across-europe/,"March 25, 2025",
AMBOSS,240000000.0,Berlin,Germany,"Medical education, Clinical decision-making",Undisclosed,AMBOSS is a global medical knowledge platform changing the way medical know-how is acquired and utilised at the point of care.,"KIRKBI, M&G Investments, Lightrock, Partech",2012,"Physicians, scientists, software engineers","1 million professional users across 180 countries, acquired Novaheal and NEJM Knowledge+, every second inpatient treatment in Germany is reportedly carried out by a physician supported by AMBOSS, majority of medical students in the US use AMBOSS, 25% of first-year US residents depend on AMBOSS",,,English,EU,,"medical education, clinical decision-making, AI, technology, health care, international expansion, acquisitions",https://www.eu-startups.com/2025/03/amboss-raises-e240-million-to-expand-position-as-leading-co-pilot-for-physicians-worldwide/,"March 25, 2025",
n8n,55000000.0,Berlin,Germany,"AI workflow automation, business process automation",Series B,AI workflow automation platform for technical teams that combines AI capabilities with business process automation.,"Highland Europe, HV Capital, Sequoia, Felicis, Harpoon",2019,"Jan Oberhauser, Founder and CEO","200k active users, 5x ARR growth in the last year, 3k enterprises using the platform, partnerships with companies like Delivery Hero, Musixmatch, and Bordr",,Series B,English,EU,,"AI, workflow automation, business process automation, fair-code, LLM integrations, enterprise, community",https://www.eu-startups.com/2025/03/n8n-raises-e55-million-to-transform-workflow-automation-for-technical-teams/,"March 25, 2025",
Augustine Therapeutics NV,77700000.0,Leuven,Belgium,BioTech,Series A,"A BioTech company focused on developing new therapies for neuromuscular, neurodegenerative and cardio-metabolic diseases through the inhibition of the HDAC6 enzyme.","Novo Holdings, Jeito Capital, Asabys Partners, Eli Lilly and Company, AdBio partners, V-Bio Ventures, PMV, VIB, Gemma Frisius Fund, Charcot-Marie-Tooth (CMT) Research Foundation, Newton Biocapital",2019,"Prof. Ludo Van Den Bosch from the VIB-KU Leuven Centre for Brain and Disease Research, Gerhard Koenig, PhD","Advancing lead candidate into clinical trials for CMT, expanding activities in Denmark, two other programmes in discovery targeting peripherally-restricted and blood-brain barrier-penetrant HDAC6i",,Series A,English,EU,,"BioTech, HDAC6, neuromuscular, neurodegenerative, cardio-metabolic, clinical trials, CMT, medicinal chemistry",https://www.eu-startups.com/2025/03/augustine-therapeutics-raises-e78-million-to-develop-new-therapies-for-diseases-including-cmt/,"March 24, 2025",
Gaia Turbine,1150000.0,Lugano,Switzerland,"hydroelectric, renewable energy",Seed,Develops plug-and-play hydroelectric micro and mini-turbines for aqueducts and minimum vital flows with over 90% efficiency.,"angel investors, TiVentures SA",4,"Calogero Amato (CEO), Franco Tommasini (CTO)","First pilot project launched in Q4 2024, turbine connected to power grid, strategic business study with Student Impact",,Seed,English,EU,,"hydroelectric, renewable energy, pilot project, sustainability, hydropower sector",https://www.eu-startups.com/2025/03/90-efficiency-gaia-turbine-sa-secures-e1-15-million-for-its-hydroelectric-turbine/,"March 21, 2025",
Catchwise,1250000.0,Oslo,Norway,"Fishery, AI, Sustainability",Pre-Seed,"Transforming the wild fishery industry with modern web technology, advanced AI, and extensive data sources.","Dreamcraft Ventures, Sondo, Ocean Impact, angel investors from Oda, Enode, Meltwater",2023,AI expertise and experience from the commercial fishing industry,"Supports over 50 vessels daily, serves 20 paying customers managing more than 50 fishing vessels",,Pre-Seed,English,EU,,"fishery, AI, sustainability, funding, Oslo, pre-Seed, Dreamcraft Ventures, Sondo, Ocean Impact",https://www.eu-startups.com/2025/03/setting-sail-catchwise-nets-e1-25-million-to-reel-in-ai-for-the-wild-fishery-industry/,"March 21, 2025",
Qlarifi,1600000.0,London,UK,"FinTech, Buy Now Pay Later, Credit Reporting",pre-Seed,"Qlarifi is a FinTech startup innovating credit reporting for Buy Now, Pay Later (BNPL) by providing underwriting data for BNPL lenders via consumers’ transaction history.","HoneyComb Asset Management, Carthona Capital, John Eales",2023,"Alex Naughton (CEO and Co-founder), Loic Berthou (Co-founder)","Nearly 415k daily BNPL applications in the UK, BNPL holds a 5% market share in e-commerce transactions",,Pre-Seed,English,UK,,"FinTech, BNPL, credit reporting, transparency, underwriting, real-time data",https://www.eu-startups.com/2025/03/qlarifi-successfully-closes-e1-6-million-pre-seed-round-to-revolutionise-bnpl/,"March 21, 2025",
Elbow Beach,95500000.0,London,UK,"climate impact, clean technologies, automation, AI, carbon capture, electrification, low-carbon materials",Seed,"Elbow Beach is a Seed investor in climate technologies with the power to transform industries, backing pioneers of clean technologies that improve industrial productivity efficiencies and outcomes.",British Business Bank,2021,"Jon Pollock, CEO and Managing Partner","First close of €95.5 million Climate Impact Fund 2, with €75.2 million already secured, including up to €59.6 million from the British Business Bank.",,Seed,English,UK,,"climate impact, clean technologies, Seed investors, British Business Bank, automation, AI, carbon capture, electrification, low-carbon materials",https://www.eu-startups.com/2025/03/elbow-beach-launches-new-up-to-e95-5-million-climate-impact-fund/,"March 21, 2025",
Rerun,15600000.0,Stockholm,Sweden,"Physical AI, robotics, autonomous vehicles, spatial computing",Seed,"Rerun builds a multimodal data stack for Physical AI, combining open-source visualisation tools with a high-performance commercial database.","Point Nine, Sunflower Capital, Costanoa Ventures, Seedcamp, Guillermo Rauch, Oliver Cameron, Wes McKinney, Eric Jang, Nicolas Dessaigne",2,"Apple, AWS, Meta, Unity, Zenly, Zipline, creator of rosbag format, key contributors to Apache Datafusion, creator of egui (Rust GUI framework)","Used in open source projects by Meta, Google, Hugging Face’s LeRobot, Unitree; launching new database and cloud data platform",,Seed,English,EU,,"Physical AI, robotics, autonomous vehicles, spatial computing, multimodal data stack, open-source visualisation, commercial database",https://www.eu-startups.com/2025/03/rerun-raises-e15-6-million-to-build-the-data-infrastructure-powering-the-physical-ai-revolution/,"March 21, 2025",
experial,2000000.0,Cologne,Germany,"DeepTech, AI, Market Research",Pre-Seed,AI-powered digital twins to help companies make market decisions quickly and accurately.,"Capnamic, xdeck, Professor Bernd Schmitt",2022,Academic backgrounds at Bergische Universität Wuppertal,"Working with major clients such as Fressnapf, TDK, and Versicherungskammer Bayern",,Pre-Seed,English,EU,,"AI, market research, digital twins, simulations, consumer behavior",https://www.eu-startups.com/2025/03/experial-secures-e2-million-to-advance-ai-powered-market-research-with-digital-twins/,"March 27, 2025",
Ethos,3000000.0,London,UK,"AI, Recruitment, Expert Networks",Seed,Ethos uses AI to match individuals with meaningful opportunities by evaluating expertise across various digital sources.,"General Catalyst, 8VC, Conviction, Common Magic, Interface, Sequoia, a16z, McKinsey, SoftBank",Founding year not specified,"James Lo (ex-McKinsey, ex-SoftBank), Daniel J. Mankowitz (ex-Google DeepMind)","Used by over 25 global investment firms and consultancies, offers paid consulting calls on-platform",Not mentioned,Seed,English,UK,Not mentioned,"AI, expert networks, recruitment, knowledge graph, due diligence, consulting, finance",https://www.eu-startups.com/2025/03/ai-meets-headhunting-ethos-secures-e3-million-to-spotlight-experts-lost-in-the-noise/,"March 27, 2025",Not mentioned
Abound,299800000.0,London,UK,"FinTech, Credit Technology",Undisclosed,"AI-powered credit technology firm offering fairer, more affordable credit to UK borrowers using Open Banking and AI.","Deutsche Bank, Citi, Waterfall Asset Management, LuminArx",4,"ex-McKinsey Partner, ex-EY Director","Issued over €779.7 million in loans, turned profitable in April 2024, total lending capacity of €1.9 billion",,,English,UK,,"AI, Open Banking, credit decisioning, financial inclusion, lending sector",https://www.eu-startups.com/2025/03/abound-secures-up-to-e300-million-in-financing-to-power-the-ai-led-lending-revolution/,"March 27, 2025",
web2wave,330000.0,Barcelona,Spain,"mobile, monetization, developer tools",Seed,A web-to-app monetisation platform helping developers bypass app store fees and keep control of their audience.,"funders.vc, Alex Garin",1,"Y Combinator alumnus with experience in mobile apps, EdTech, and AI","Processed €1.55 million in revenue in March 2025, powers over 6 million monthly users",,Seed,English,EU,,"web-to-app, monetisation, app store fees, Digital Markets Act, DMA, mobile industry",https://www.eu-startups.com/2025/03/web2wave-raises-e330k-to-help-app-developers-bypass-app-store-fees-and-regain-control/,"March 26, 2025",
specter automation,5000000.0,Cologne,Germany,ConstructionTech,Seed,specter automation is a ConstructionTech company focused on digitising construction site execution through 3D model-based management.,"Shilling VC, Almaz Capital, PAWAO, TechVision Fund, LBBW Venture Capital, xdeck Ventures",2021,"Oliver Eischet, Co-founder and CEO","Expansion beyond Europe with active projects and customers in North America, the Middle East, Asia, and New Zealand",,Seed,English,EU,,"ConstructionTech, 3D site management, digitisation, construction sector, global expansion",https://www.eu-startups.com/2025/03/e5-million-for-specter-automation-to-drive-3d-site-management/,"March 26, 2025",
peopleIX,2300000.0,Cologne,Germany,"HRTech, AI, people intelligence",Pre-Seed,"AI-powered people intelligence platform enabling organizations to consolidate, analyze, and act on critical workforce data.","Earlybird-X, neoteq ventures, TS Ventures, HRTech business angels",2022,Co-founders Nick Stodt and Dr. Georg Schaal,"Trusted by companies such as d.velop, rebuy, Koro, simplicity, and OMR",,Pre-Seed,English,EU,,"AI, HRTech, people intelligence, workforce analytics, predictive insights",https://www.eu-startups.com/2025/03/peopleix-nabs-e2-3-million-to-unlock-organisational-insights-to-inform-workforce-decisions/,"March 20, 2025",
WARREN,3000000.0,Sint-Martens-Lierde,Belgium,"WealthTech, Financial Wellness",Pre-Seed,"WARREN is a WealthTech startup innovating employee financial wellness by providing tailored insights, AI-driven financial coaching and education, and direct access to top advisors.","Motive Ventures, Entourage, Syndicate One, Pitchdrive, 1105",2024,"ex-Alan, ex-Showpad, ex-Metamaze, ex-KBC, ex-Silverfin","78% of employees feel financially stressed, 60% think their organisation needs to prioritise financial wellbeing, 42% would consider changing jobs for better financial support",,Pre-Seed,English,EU,https://www.warren.be,"WealthTech, financial wellness, AI-driven coaching, financial stress, employee benefits",https://www.eu-startups.com/2025/03/warren-raises-e3-million-to-transform-financial-wellness-in-the-workplace/,"March 20, 2025",
Brainomix,16700000.0,Oxford,UK,"HealthTech, AI, Medical Imaging",Series C,Pioneering AI-powered imaging tools in stroke and lung fibrosis.,"Parkwalk Advisors, Boehringer Ingelheim Venture Fund (BIVF), Hostplus, LifeSci Capital",2024,Spinout from the University of Oxford,"Deployed to more than 300 hospitals, benefitted more than 1.5 million patients, 10 FDA clearances, partnership with Boehringer Ingelheim",,Series C,English,EU,,"AI, HealthTech, stroke, lung fibrosis, FDA, University of Oxford, imaging biomarkers",https://www.eu-startups.com/2025/03/brainomix-secures-e16-7-milllion-to-advance-its-ai-imaging-technology-in-healthcare/,"March 20, 2025",
Flexvelop,44000000.0,Hamburg,Germany,"FinTech, equipment financing",Equity,FinTech startup focused on the buying and leasing of equipment through an innovative solution called 'Flexing'.,"InnoVentureFonds (IVF), Seventure Partners",2018,Dr Hans-Christian Stockfisch (CEO),"Partnerships with retailers and manufacturers, rebranding, financing larger volumes",,Equity,English,EU,,"FinTech, equipment financing, Flexing, SMEs, digital processes, financing alternative",https://www.eu-startups.com/2025/03/from-startup-to-grown-up-flexvelop-raises-e44-million-for-their-fintech-platform/,"March 20, 2025",
Buynomics,27500000.0,Cologne,Germany,"AI, pricing, revenue optimisation",Series B,"AI-powered pricing and revenue optimisation platform transforming how enterprises optimise pricing, promotions, and product portfolios.","Forestay Capital, Anais Ventures, VI Partners, Insight Partners, Seedcamp, DvH Ventures, Tomahawk Ventures",2018,Dr Ingo Reinhardt and Dr Sebastian Baier,"Trusted by industry leaders such as Danone, Unilever, L’Oréal and Vodafone in over 25 countries, drives 2-4% gross profit increases while reducing analysis time by up to 80%.",,Series B,English,EU,,"AI, pricing, revenue optimisation, global expansion, Virtual Shoppers AI, commercial decision-making",https://www.eu-startups.com/2025/03/buynomics-secures-e27-5-million-for-its-virtual-shoppers-ai-technology/,"March 20, 2025",
Fuel Ventures,,London,UK,"VC Firm, high-growth tech businesses",,A VC Firm that specializes in providing Seed funding to early-stage technology companies.,Fuel Ventures,2014,"Mark Pearson, Founder and Managing Partner","Returned €47 million to investors across its portfolio, with returns of up to 5.8x.",€333 million (Volt),Seed,English,UK,,"VC Firm, high-growth tech businesses, Seed funding, exits, returns, EIS fund",https://www.eu-startups.com/2025/03/fuel-ventures-announces-latest-successful-exit-delivering-e47-million-return/,"March 19, 2025",
Resilco,5000000.0,Bergamo,Italy,"CleanTech, Construction",Series A,Transforms industrial waste into secondary raw materials for the construction sector with CO2 storage.,"360 Capital, CDP Venture Capital, Tech4Planet, Lombardia Venture",5,"David Callejo Munoz (CEO), Paolo Brazzo (Head of R&D), Alessandro Panza (Head of Engineering), Marta Cecilia Pigazzini (Head of Business Development)","Raised over €6 million across two funding rounds, plans to build first mobile plant in 2026 and first industrial plant in 2027.",,Series A,English,EU,,"CleanTech, industrial waste, CO2 storage, construction, secondary raw materials, sustainability",https://www.eu-startups.com/2025/03/cleantech-startup-resilico-secures-e5-million-to-transform-the-industrial-waste-sector/,"March 19, 2025",
Zero Point Motion,4700000.0,Bristol,UK,"Defense, AgriTech, autonomous vehicles, consumer electronics, industrial logistics",pre-Series A,"Pioneering sensor technology through the integration of silicon photonics and micro-electro-mechanical systems (MEMS) to develop ultra-sensitive, low-cost, miniaturised accelerometers and gyroscopes.","SCVC, Foresight Group, Verve Ventures, u-blox AG",2020,"Dr Lia Li (Founder and CEO), ex-Google, PhDs, serial entrepreneurs","Expanding patent portfolio, multiple newly granted patents, product qualification and customer deployment, secured major government and EU funding",,Pre-Series A,English,UK,,"sensor technology, positioning, navigation, Defense, AgriTech, autonomous vehicles, consumer electronics, industrial logistics, MEMS, silicon photonics, inertial sensors, quantum approaches, robotics",https://www.eu-startups.com/2025/03/zero-point-motion-emerges-from-stealth-with-e4-7-million-in-order-to-transform-motion-sensing/,"March 13, 2025",
Blackwall,45000000.0,Tallinn,Estonia,"AI, security, web infrastructure",Series B,"Blackwall defends web ecosystems from malicious automated threats, being already in use across more than 2.3 million websites and applications.","Dawn Capital, MMC",2019,"Nikita Rozenberg (CEO), Denis Prochko (CTO)","Used across more than 2.3 million websites and applications, expanding into the U.S. and APAC, strengthens global channel partnerships",,Series B,English,EU,,"AI, security, web infrastructure, SMBs, bots, cyber attacks, hosting services, managed service providers, eCommerce platforms",https://www.eu-startups.com/2025/03/first-line-of-defence-blackwall-raises-e45-million-to-protect-smbs-and-rebrand/,"March 13, 2025",
Vento,75000000.0,Turin,Italy,"Venture Capital, Tech Ecosystem",,A private early stage venture capital fund focused on supporting Italian startup founders globally.,"John Elkann, Diego Piacentini, Mike Volpi, Jean de La Rochebrochard",2,"Tech industry veterans, including John Elkann, Diego Piacentini, Mike Volpi, and Jean de La Rochebrochard","Invested in 100 startups, evaluated over 3,500 startups, maintains a 2.5% conversion rate, created 26 startups from venture building programme",,Early Stage,English,EU,,"Venture Capital, Italian Tech Week, Startup Founders, Tech Ecosystem, Investment",https://www.eu-startups.com/2025/03/vc-fund-vento-launches-e75-million-fund-ii-to-back-the-boldest-italian-founders/,"March 13, 2025",
TastyUrban,6500000.0,Berlin,Germany,"food delivery, restaurant franchise, digital-first brands",,"TastyUrban develops and licenses out innovative food brands to underutilised restaurant and retail partners, generating incremental revenue without additional costs.","IBB Ventures, Fulcrum, Monte Carlo Capital, Earlybird-X, Cardumen Capital",2022,"ex-Gorillas, ex-Tier, ex-Deliveroo, senior management positions, industry expertise","80+ restaurant partners across 25 cities in Germany, multiple consumer brands launched (Birdie Birdie, Nanuh, Fly Dumplings), additional brands in development",,,English,EU,,"digital-first, restaurant franchise, food delivery, licensing model, host kitchens, revenue optimization",https://www.eu-startups.com/2025/03/tastyurban-raises-e6-5-million-to-create-the-largest-digital-first-restaurant-franchise/,"March 13, 2025",
flowww,4000000.0,Valencia,Spain,"aesthetic medicine, healthcare, beauty",first investment round,"flowww offers a vertical solution that enables aesthetic medicine, beauty and healthcare businesses to unify all their operations into a single platform.","Swanlaab Venture Factory, Bonsai Partners, Sabadell Venture Capital",17,entrepreneurs Natalia Villora and Germán Oltra,"operates in 17 countries, serves 3,500 clinics, managed over 13 million appointments, annual transaction volume exceeding €300 million, 9 out of the 10 largest beauty chains in Spain work with flowww",,first investment round,English,EU,,"software, aesthetic medicine, healthcare, beauty, funding, international expansion, digital transformation",https://www.eu-startups.com/2025/03/flowww-gets-a-e4-million-boost-to-streamline-daily-operations-in-healthcare-and-beauty-sectors/,"March 13, 2025",
Jaipur Robotics,725000.0,Manno,Switzerland,"AI solutions, waste management, waste-to-energy",pre-Seed,Jaipur Robotics aims to transform the Waste-to-Energy sector through advanced deep learning and automation technologies.,TiVentures SA,2024,"Ermes Zamboni, Nikhil Prakash",strategic collaborations with leading European industrial players,,Pre-Seed,English,EU,,"AI, waste management, waste-to-energy, deep learning, automation, sustainability",https://www.eu-startups.com/2025/03/cash-for-trash-jaipur-robotics-secures-e725k-to-power-ai-waste-solutions/,"March 12, 2025",
MSInsight,1600000.0,Paris,France,"precision medicine, oncology, AI diagnostics",Seed,MSInsight develops AI-powered diagnostic software to enhance the accuracy of detecting microsatellite instability (MSI) cancers.,"Calyseed, Plateau de Saclay Business Angels, Yes Invest, Capital Cell, bpifrance",2022,"PhD, academic research from Inserm, Assistance Publique des Hôpitaux de Paris, and Sorbonne University","proven outperformance of current methods in several types of cancer, preparing CE-IVD certification procedures",,Seed,English,EU,,"precision medicine, oncology, AI diagnostics, microsatellite instability, cancer, immunotherapy, NGS, bioinformatics",https://www.eu-startups.com/2025/03/msinsight-secures-e1-6-million-to-redefine-msi-cancer-diagnosis/,"March 12, 2025",
